Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
HEXAWARE,EQ,25-Apr-17,220.2,221.85,225.85,220,224.8,224.95,223.11,2213006,493754716.7,36423,1062400,48.01
HEXAWARE,EQ,26-Apr-17,224.95,225.9,226.5,220.55,222.9,223,223.65,839443,187739230.2,11899,263875,31.43
HEXAWARE,EQ,27-Apr-17,223,223.4,233,220.45,232.7,230.7,228.53,1690264,386273216.6,18766,482512,28.55
HEXAWARE,EQ,28-Apr-17,230.7,232.5,233.95,227.55,231,231.05,231.08,1209090,279396553.1,13371,491739,40.67
HEXAWARE,EQ,02-May-17,231.05,233.2,235.75,226.2,229.5,227.5,231.05,1241223,286782412.3,19881,499922,40.28
HEXAWARE,EQ,03-May-17,227.5,229.9,236,227.3,234.4,234.9,233.17,837889,195367036.5,9757,227004,27.09
HEXAWARE,EQ,04-May-17,234.9,235,240.45,234.9,239.95,239.3,237.91,1551356,369088166.1,30892,665137,42.87
HEXAWARE,EQ,05-May-17,239.3,239.5,241.9,235.15,237.95,239.3,239.3,1005780,240686152.6,21990,509533,50.66
HEXAWARE,EQ,08-May-17,239.3,239.5,250.6,236.5,249.05,249.65,245.88,1909728,469556286.8,30455,918679,48.11
HEXAWARE,EQ,09-May-17,249.65,251.9,252.5,247,251.65,250.7,250.2,1090953,272953669.3,24794,452144,41.44
HEXAWARE,EQ,10-May-17,250.7,249.15,253,244,247.8,249.05,250.21,838315,209750928.8,12926,270973,32.32
HEXAWARE,EQ,11-May-17,249.05,249.2,256.3,248.05,251.5,251.2,253.23,1378482,349069797.3,16718,544593,39.51
HEXAWARE,EQ,12-May-17,251.2,250.2,252.8,248,249.05,249.3,250.13,435925,109036640.5,5416,64939,14.9
HEXAWARE,EQ,15-May-17,249.3,250.8,256.4,249.45,255.75,255.35,253.79,615314,156158461.3,14866,138791,22.56
HEXAWARE,EQ,16-May-17,255.35,252.8,257,251.45,257,255.9,254.3,551606,140271247,9576,107589,19.5
HEXAWARE,EQ,17-May-17,255.9,253.5,257.05,250.1,253,251.25,253.08,588584,148960199.3,8056,120026,20.39
HEXAWARE,EQ,18-May-17,251.25,249.2,261.45,248.1,254.7,255.65,256.57,1830112,469553396.7,21054,412794,22.56
HEXAWARE,EQ,19-May-17,255.65,256.65,257.45,250.3,253.4,252.35,252.58,1122473,283514582.8,30349,451157,40.19
HEXAWARE,EQ,22-May-17,252.35,254.8,259.75,251.6,253.8,255.25,255.62,500801,128014885.4,6337,110138,21.99
HEXAWARE,EQ,23-May-17,255.25,254.8,255,241.55,242.15,245.5,249.09,587318,146296742,7039,67879,11.56
HEXAWARE,EQ,24-May-17,245.5,246.25,254.3,238.8,246,245.65,246.14,1283765,315985067.7,11747,235807,18.37
HEXAWARE,EQ,25-May-17,245.65,249,253.25,246.05,252.2,252.25,250.03,531919,132995542.2,6278,127987,24.06
HEXAWARE,EQ,26-May-17,252.25,250,256.5,250,251.85,252.35,253.28,524537,132856728.7,12996,69933,13.33
HEXAWARE,EQ,29-May-17,252.35,252,252.1,244.9,246.2,247.25,248.6,438635,109042891.4,11139,38585,8.8
HEXAWARE,EQ,30-May-17,247.25,247.5,247.5,228,233.65,236.25,236.21,1206075,284889857.3,12531,356826,29.59
HEXAWARE,EQ,31-May-17,236.25,233.9,237.3,231,234.5,235,234.9,728360,171088866.1,19470,223112,30.63
HEXAWARE,EQ,01-Jun-17,235,236,243.5,234.35,243.5,242.2,239.87,509251,122152902.4,7026,147017,28.87
HEXAWARE,EQ,02-Jun-17,242.2,243,244.7,238.55,243.35,242.75,241.52,436802,105495700.5,10439,97968,22.43
HEXAWARE,EQ,05-Jun-17,242.75,240.85,256,240.85,254.2,253,250.61,946140,237115477.6,18718,131369,13.88
HEXAWARE,EQ,06-Jun-17,253,253.2,267.75,250.75,260.2,259.6,262.2,2951784,773958889,44260,671117,22.74
HEXAWARE,EQ,07-Jun-17,259.6,261.8,261.8,241.55,246,245.45,247.22,2830622,699775240.9,29739,370934,13.1
HEXAWARE,EQ,08-Jun-17,245.45,246.2,247.3,237,244,243.15,242,1457712,352769260.1,19814,287112,19.7
HEXAWARE,EQ,09-Jun-17,243.15,244.9,245.95,236.25,238,239.6,241.85,860213,208038733.1,13273,294055,34.18
HEXAWARE,EQ,12-Jun-17,239.6,238,245.9,236.25,239.45,239.6,240.26,1153491,277132063.2,16642,216674,18.78
HEXAWARE,EQ,13-Jun-17,239.6,238.6,246.25,236.75,240.1,241.65,241,1713051,412847008.6,13359,498702,29.11
HEXAWARE,EQ,14-Jun-17,241.65,235,242,228.1,241.8,237.55,233.82,4894287,1144398124,37313,161138,3.29
HEXAWARE,EQ,15-Jun-17,237.55,238.9,250.3,237.2,249,248.8,244.16,1548267,378020798.2,15388,189790,12.26
HEXAWARE,EQ,16-Jun-17,248.8,246.75,254.8,246.05,250.75,251.45,251.15,1227512,308293027,14228,146384,11.93
HEXAWARE,EQ,19-Jun-17,251.45,250,253.5,246.2,247.85,249.35,251.2,498482,125216618.6,8493,89424,17.94
HEXAWARE,EQ,20-Jun-17,249.35,248,259,246.15,257,257.35,253.55,1172053,297171756.8,20434,254313,21.7
HEXAWARE,EQ,21-Jun-17,257.35,257,262,255.05,261.95,259.45,258.26,945662,244228572.5,15508,285474,30.19
HEXAWARE,EQ,22-Jun-17,259.45,261.95,262,249.8,251.7,251.9,255.04,753166,192087971.7,18373,174271,23.14
HEXAWARE,EQ,23-Jun-17,251.9,252,254.35,244.7,248.05,247,248.89,661349,164601848,10748,74481,11.26
HEXAWARE,EQ,27-Jun-17,247,250,251.25,243.1,246.8,246.05,247.61,843963,208977226.3,16261,62122,7.36
HEXAWARE,EQ,28-Jun-17,246.05,246,248.65,240.1,243.35,242.1,243.99,781335,190637552.1,12431,156244,20
HEXAWARE,EQ,29-Jun-17,242.1,243.1,250.8,243.1,247.5,247.45,246,859412,211415891.6,8224,99188,11.54
HEXAWARE,EQ,30-Jun-17,247.45,246.2,246.7,241,241.45,242.25,243.36,538873,131138511.9,4894,114927,21.33
HEXAWARE,EQ,03-Jul-17,242.25,241.55,244,237.75,239.4,240,240.24,713379,171384310.2,18749,159479,22.36
HEXAWARE,EQ,04-Jul-17,240,239.5,244.6,237.05,241.5,241.6,242.34,774504,187691684.4,11597,60148,7.77
HEXAWARE,EQ,05-Jul-17,241.6,242,244.2,239.3,240.05,240.4,241.58,492190,118901678.9,10474,78829,16.02
HEXAWARE,EQ,06-Jul-17,240.4,240.85,242.75,238.55,239.4,239.95,240.46,363321,87363816.1,8727,63013,17.34
HEXAWARE,EQ,07-Jul-17,239.95,240.2,243,236,238.75,237.85,239.66,371320,88992194.9,5801,50179,13.51
HEXAWARE,EQ,10-Jul-17,237.85,240,245.95,237.85,245.7,244.65,244.01,270200,65932244.7,2306,155021,57.37
HEXAWARE,EQ,11-Jul-17,244.65,246,255,245.3,251.7,252.4,252.42,1398901,353112701,23177,186015,13.3
HEXAWARE,EQ,12-Jul-17,252.4,256.45,256.45,249.75,251.4,252.3,251.82,904956,227881964.8,17394,188102,20.79
HEXAWARE,EQ,13-Jul-17,252.3,253,253.15,244.9,246.3,246.6,247.95,648227,160724790.8,15856,99888,15.41
HEXAWARE,EQ,14-Jul-17,246.6,247.55,249,239.35,241.95,242.05,242.5,888220,215397055.1,15319,352295,39.66
HEXAWARE,EQ,17-Jul-17,242.05,242.15,247.25,239.65,243.25,243.25,243.7,935138,227894377.6,15109,355674,38.03
HEXAWARE,EQ,18-Jul-17,243.25,243.5,249.1,241.25,245,244,245.84,1059874,260562366.9,22831,247254,23.33
HEXAWARE,EQ,19-Jul-17,244,244.95,249.05,242.1,248,247.75,246.47,918931,226490526.3,16767,193849,21.1
HEXAWARE,EQ,20-Jul-17,247.75,249.8,249.8,244,245.8,245.1,246.02,558004,137280891,15157,55127,9.88
HEXAWARE,EQ,21-Jul-17,245.1,246.2,247.4,239.9,243.7,242.75,243.06,610422,148371595.4,12701,235489,38.58
HEXAWARE,EQ,24-Jul-17,242.75,243.25,245.2,239.4,242.4,242.35,242.41,897370,217532619,26177,216903,24.17
HEXAWARE,EQ,25-Jul-17,242.35,243,248.6,240,247.5,247.55,245.13,733314,179757094.2,15124,140660,19.18
HEXAWARE,EQ,26-Jul-17,247.55,249.5,258.3,248.45,256.4,256.25,254.94,2355296,600467072.2,30612,869592,36.92
HEXAWARE,EQ,27-Jul-17,256.25,257.05,260,249.95,258,258.15,255.71,1924210,492035499.2,22893,626615,32.56
HEXAWARE,EQ,28-Jul-17,258.15,257.85,262.75,253.8,259.95,260.25,259.25,1423210,368973338.9,19804,262249,18.43
HEXAWARE,EQ,31-Jul-17,260.25,260.1,264.9,258.5,262.75,261.95,262.42,1592712,417956887.1,12219,243677,15.3
HEXAWARE,EQ,01-Aug-17,261.95,265.4,267.2,255,255.25,256.45,258.86,3276195,848082560.8,24178,1300585,39.7
HEXAWARE,EQ,02-Aug-17,256.45,255.45,255.85,248.05,248.5,249.75,252.34,953926,240714082.8,14706,143664,15.06
HEXAWARE,EQ,03-Aug-17,249.75,248.05,255.4,245.55,246.65,246.5,250.75,948075,237728785,12301,155880,16.44
HEXAWARE,EQ,04-Aug-17,246.5,245.85,254,242.4,251.4,252.1,250.09,845354,211413905.7,11924,172414,20.4
HEXAWARE,EQ,07-Aug-17,252.1,251.75,255.2,250,253.9,253.55,253.56,583922,148060069,8287,101235,17.34
HEXAWARE,EQ,08-Aug-17,253.55,252.7,263.9,252.5,262,261.4,259.82,1856992,482481147.5,31298,510660,27.5
HEXAWARE,EQ,09-Aug-17,261.4,259.45,263.65,257,259.4,260.2,259.99,648819,168684538.7,10318,121335,18.7
HEXAWARE,EQ,10-Aug-17,260.2,257.1,263.75,250.1,256,253.75,257.94,1041495,268639859,15476,176245,16.92
HEXAWARE,EQ,11-Aug-17,253.75,253,258.95,246.2,253.7,254.5,253.97,562405,142832490.2,7493,93124,16.56
HEXAWARE,EQ,14-Aug-17,254.5,254.5,268.8,254.5,263.5,263.5,264.56,1711155,452696764.5,24989,410467,23.99
HEXAWARE,EQ,16-Aug-17,263.5,266,268.2,262.05,265.8,264.45,265.04,909405,241024866.9,16074,198925,21.87
HEXAWARE,EQ,17-Aug-17,264.45,267.5,281.9,265.8,277.15,278.25,275.94,3283152,905950332.4,31284,443160,13.5
HEXAWARE,EQ,18-Aug-17,278.25,277.2,280.8,271.1,272.4,273.75,276.19,1650198,455767076.3,16631,332109,20.13
HEXAWARE,EQ,21-Aug-17,273.75,271.7,275.75,264.35,265.8,265.65,268.88,805392,216549789.1,9983,122995,15.27
HEXAWARE,EQ,22-Aug-17,265.65,266,271.05,261.2,265.85,265.1,265.67,1006519,267403581.4,11917,156540,15.55
HEXAWARE,EQ,23-Aug-17,265.1,268,270.4,265.9,269.85,269,268.6,960961,258118452.5,11326,208821,21.73
HEXAWARE,EQ,24-Aug-17,269,269.85,277.45,268.45,273.85,274.15,275.2,1622377,446470419.5,17012,390686,24.08
HEXAWARE,EQ,28-Aug-17,274.15,276.6,277.15,271.2,272.95,274,274.23,656392,180002675.9,9344,192589,29.34
HEXAWARE,EQ,29-Aug-17,274,272.05,275.7,266.75,271.4,270.05,272.37,818894,223045307.7,13476,184154,22.49
HEXAWARE,EQ,30-Aug-17,270.05,272,276.45,271.1,274.05,273.95,274.14,553226,151660983.5,7664,139814,25.27
HEXAWARE,EQ,31-Aug-17,273.95,276,280.8,271.55,273,273.2,275.31,2396096,659678090.8,22343,346612,14.47
HEXAWARE,EQ,01-Sep-17,273.2,273.1,274,268.1,270.8,270.75,271.29,600177,162823852.6,5866,118385,19.73
HEXAWARE,EQ,04-Sep-17,270.75,271.5,273.15,265.1,268,268.3,268.48,378506,101620358,4140,46004,12.15
HEXAWARE,EQ,05-Sep-17,268.3,268.5,275.45,266.25,274.5,274.75,272.1,1486174,404391241.6,13199,198051,13.33
HEXAWARE,EQ,06-Sep-17,274.75,273.9,273.9,268.25,269.9,270,271,741600,200976224.7,11918,99697,13.44
HEXAWARE,EQ,07-Sep-17,270,270.1,274.1,269.55,271.75,271.9,271.52,584700,158755745.7,15478,165639,28.33
HEXAWARE,EQ,08-Sep-17,271.9,273.65,275.65,269.3,270,271.75,272.65,500311,136408348.6,7529,115063,23
HEXAWARE,EQ,11-Sep-17,271.75,272.1,274.8,270.8,272.9,271.8,272.86,735780,200767299.8,12818,75549,10.27
HEXAWARE,EQ,12-Sep-17,271.8,273.35,275.15,272,273,273.55,273.51,751954,205663405.3,13406,63410,8.43
HEXAWARE,EQ,13-Sep-17,273.55,274,280.5,273.6,274.7,275.55,277.69,1369157,380206125,16143,364437,26.62
HEXAWARE,EQ,14-Sep-17,275.55,275.2,278.65,273.55,274.9,275.1,275.96,862872,238118044.9,17543,233095,27.01
HEXAWARE,EQ,15-Sep-17,275.1,275.5,279,274.1,278.2,277.95,276.84,979499,271162101.7,13634,393737,40.2
HEXAWARE,EQ,18-Sep-17,277.95,280,283.05,278.2,278.4,279.65,280.94,651430,183010107.3,9681,165198,25.36
HEXAWARE,EQ,19-Sep-17,279.65,279.85,281.4,276.85,278.6,278.7,278.98,722196,201475554.5,9714,112810,15.62
HEXAWARE,EQ,20-Sep-17,278.7,282,284.2,274,274.25,275.45,277.1,719991,199511000.6,9480,322215,44.75
HEXAWARE,EQ,21-Sep-17,275.45,275,277.05,269.25,273.6,273.1,273.1,667406,182268285.3,9049,66858,10.02
HEXAWARE,EQ,22-Sep-17,273.1,271.1,274.65,266.7,268.15,268.35,271.07,916290,248374610.3,13895,97849,10.68
HEXAWARE,EQ,25-Sep-17,268.35,270,271,260.6,265,264.95,264.09,503567,132988004.8,6452,107257,21.3
HEXAWARE,EQ,26-Sep-17,264.95,265.15,270.85,262,269.3,269.3,265.4,792440,210314037.6,11224,74392,9.39
HEXAWARE,EQ,27-Sep-17,269.3,269.6,271.75,259,259,260.2,266.14,404066,107536786.5,5457,63706,15.77
HEXAWARE,EQ,28-Sep-17,260.2,260,269.4,259.1,268.45,266.95,264.96,743297,196943886,14610,179184,24.11
